system,sf,round,cold,query,status,rows,wall_ms,engine_ms,fe_ms,plan_ms,schedule_ms,rpc1_ms,cpu_ms,peak_mem_bytes,scan_bytes,scan_rows,query_id,start_ms,end_ms,peak_rss_kb,read_bytes,cpu_cores,gpu_peak_mib
duckdb-gpu,sf10,1,1,q01,OK,4,1230,-,-,-,-,-,-,-,-,-,-,1789793623503,1789793624790,1360136,690606080,1.61,13565
duckdb-gpu,sf10,1,1,q02,OK,100,456,-,-,-,-,-,-,-,-,-,-,1789793624792,1789793625249,1431968,685379584,1.45,13569
duckdb-gpu,sf10,1,1,q03,OK,10,2916,-,-,-,-,-,-,-,-,-,-,1789793625251,1789793628170,1431968,1183215616,0.30,13573
duckdb-gpu,sf10,1,1,q04,OK,5,1490,-,-,-,-,-,-,-,-,-,-,1789793628172,1789793629664,1498684,715608064,0.55,13575
duckdb-gpu,sf10,1,1,q05,OK,5,3322,-,-,-,-,-,-,-,-,-,-,1789793629666,1789793632990,1521236,1264254976,0.34,13575
duckdb-gpu,sf10,1,1,q06,OK,1,1767,-,-,-,-,-,-,-,-,-,-,1789793632992,1789793634761,1521236,662921216,0.48,13575
duckdb-gpu,sf10,1,1,q07,OK,4,3524,-,-,-,-,-,-,-,-,-,-,1789793634764,1789793638291,1547824,1435459584,0.35,13575
duckdb-gpu,sf10,1,1,q08,OK,2,4585,-,-,-,-,-,-,-,-,-,-,1789793638293,1789793642879,1566752,1589231616,0.26,13575
duckdb-gpu,sf10,1,1,q09,OK,175,4871,-,-,-,-,-,-,-,-,-,-,1789793642881,1789793647753,1566752,1793871872,1.20,13575
duckdb-gpu,sf10,1,1,q10,OK,20,2797,-,-,-,-,-,-,-,-,-,-,1789793647755,1789793650553,1563288,1099747328,0.51,13577
duckdb-gpu,sf10,1,1,q11,OK,171440,832,-,-,-,-,-,-,-,-,-,-,1789793650555,1789793651389,1617576,536092672,0.38,13579
duckdb-gpu,sf10,1,1,q12,OK,2,1599,-,-,-,-,-,-,-,-,-,-,1789793651391,1789793652991,1617576,573206528,0.41,13579
duckdb-gpu,sf10,1,1,q13,OK,46,1660,-,-,-,-,-,-,-,-,-,-,1789793652993,1789793654655,1589072,903475200,0.41,13579
duckdb-gpu,sf10,1,1,q14,OK,1,2767,-,-,-,-,-,-,-,-,-,-,1789793654657,1789793657426,1620340,1143816192,0.30,13579
duckdb-gpu,sf10,1,1,q15,OK,1,2532,-,-,-,-,-,-,-,-,-,-,1789793657428,1789793659961,1620340,907362304,0.38,13579
duckdb-gpu,sf10,1,1,q16,OK,27840,309,-,-,-,-,-,-,-,-,-,-,1789793659963,1789793660274,1740052,373694464,0.85,13583
duckdb-gpu,sf10,1,1,q17,OK,1,3649,-,-,-,-,-,-,-,-,-,-,1789793660276,1789793663927,1740052,1247223808,0.25,13583
duckdb-gpu,sf10,1,1,q18,OK,100,2315,-,-,-,-,-,-,-,-,-,-,1789793663929,1789793666245,1715060,1075068928,0.56,13583
duckdb-gpu,sf10,1,1,q19,OK,1,2844,-,-,-,-,-,-,-,-,-,-,1789793666247,1789793669093,1715060,1094602752,1.28,13583
duckdb-gpu,sf10,1,1,q20,OK,1804,2774,-,-,-,-,-,-,-,-,-,-,1789793669095,1789793671871,1805132,1084092416,0.46,13583
duckdb-gpu,sf10,1,1,q21,OK,100,5434,-,-,-,-,-,-,-,-,-,-,1789793671873,1789793677309,1805132,1926635520,0.32,13583
duckdb-gpu,sf10,1,1,q22,OK,7,388,-,-,-,-,-,-,-,-,-,-,1789793677311,1789793677702,1714256,160739328,0.89,13583
duckdb-gpu,sf10,2,0,q01,OK,4,1270,-,-,-,-,-,-,-,-,-,-,1789793686757,1789793688031,1387596,781885440,1.98,13567
duckdb-gpu,sf10,2,0,q02,OK,100,653,-,-,-,-,-,-,-,-,-,-,1789793688033,1789793688688,1424320,356282368,1.04,13569
duckdb-gpu,sf10,2,0,q03,OK,10,2936,-,-,-,-,-,-,-,-,-,-,1789793688690,1789793691628,1431376,1033859072,0.27,13573
duckdb-gpu,sf10,2,0,q04,OK,5,1460,-,-,-,-,-,-,-,-,-,-,1789793691630,1789793693092,1513848,718057472,1.18,13575
duckdb-gpu,sf10,2,0,q05,OK,5,3345,-,-,-,-,-,-,-,-,-,-,1789793693094,1789793696441,1533540,1264410624,0.43,13575
duckdb-gpu,sf10,2,0,q06,OK,1,1788,-,-,-,-,-,-,-,-,-,-,1789793696443,1789793698232,1533540,667582464,0.49,13575
duckdb-gpu,sf10,2,0,q07,OK,4,3512,-,-,-,-,-,-,-,-,-,-,1789793698234,1789793701748,1564152,1425211392,1.13,13575
duckdb-gpu,sf10,2,0,q08,OK,2,4567,-,-,-,-,-,-,-,-,-,-,1789793701750,1789793706320,1582840,1592975360,0.28,13575
duckdb-gpu,sf10,2,0,q09,OK,175,4869,-,-,-,-,-,-,-,-,-,-,1789793706322,1789793711192,1582840,1791623168,0.33,13575
duckdb-gpu,sf10,2,0,q10,OK,20,2814,-,-,-,-,-,-,-,-,-,-,1789793711194,1789793714010,1571732,1087221760,0.45,13577
duckdb-gpu,sf10,2,0,q11,OK,171440,813,-,-,-,-,-,-,-,-,-,-,1789793714012,1789793714828,1625532,534548480,0.38,13579
duckdb-gpu,sf10,2,0,q12,OK,2,1626,-,-,-,-,-,-,-,-,-,-,1789793714830,1789793716459,1625532,766959616,0.36,13579
duckdb-gpu,sf10,2,0,q13,OK,46,1639,-,-,-,-,-,-,-,-,-,-,1789793716461,1789793718101,1597352,728186880,0.35,13579
duckdb-gpu,sf10,2,0,q14,OK,1,2792,-,-,-,-,-,-,-,-,-,-,1789793718103,1789793720896,1629084,1141501952,0.42,13579
duckdb-gpu,sf10,2,0,q15,OK,1,2517,-,-,-,-,-,-,-,-,-,-,1789793720899,1789793723418,1629084,904151040,1.30,13579
duckdb-gpu,sf10,2,0,q16,OK,27840,246,-,-,-,-,-,-,-,-,-,-,1789793723420,1789793723668,1751084,367775744,1.51,13583
