system,sf,round,cold,query,status,rows,wall_ms,engine_ms,fe_ms,plan_ms,schedule_ms,rpc1_ms,cpu_ms,peak_mem_bytes,scan_bytes,scan_rows,query_id,start_ms,end_ms,peak_rss_kb,read_bytes,cpu_cores,gpu_peak_mib
duckdb,sf10,1,1,q01,OK,4,1257,-,-,-,-,-,-,-,-,-,-,1789793515158,1789793516427,550492,850579456,5.29,-
duckdb,sf10,1,1,q02,OK,100,440,-,-,-,-,-,-,-,-,-,-,1789793516428,1789793516869,598392,522780672,4.05,-
duckdb,sf10,1,1,q03,OK,10,1461,-,-,-,-,-,-,-,-,-,-,1789793516869,1789793518331,668712,669835264,3.80,-
duckdb,sf10,1,1,q04,OK,5,596,-,-,-,-,-,-,-,-,-,-,1789793518331,1789793518928,711744,270311424,5.59,-
duckdb,sf10,1,1,q05,OK,5,873,-,-,-,-,-,-,-,-,-,-,1789793518928,1789793519802,711744,370618368,6.53,-
duckdb,sf10,1,1,q06,OK,1,410,-,-,-,-,-,-,-,-,-,-,1789793519803,1789793520213,711744,208896,6.75,-
duckdb,sf10,1,1,q07,OK,4,735,-,-,-,-,-,-,-,-,-,-,1789793520213,1789793520949,803144,339968,7.11,-
duckdb,sf10,1,1,q08,OK,2,979,-,-,-,-,-,-,-,-,-,-,1789793520950,1789793521929,803144,301453312,6.58,-
duckdb,sf10,1,1,q09,OK,175,1757,-,-,-,-,-,-,-,-,-,-,1789793521929,1789793523687,1802844,202866688,6.97,-
duckdb,sf10,1,1,q10,OK,20,914,-,-,-,-,-,-,-,-,-,-,1789793523687,1789793524602,1802844,122826752,6.69,-
duckdb,sf10,1,1,q11,OK,171440,284,-,-,-,-,-,-,-,-,-,-,1789793524602,1789793524887,1422796,150499328,6.15,-
duckdb,sf10,1,1,q12,OK,2,614,-,-,-,-,-,-,-,-,-,-,1789793524887,1789793525503,1422796,139468800,6.72,-
duckdb,sf10,1,1,q13,OK,46,1195,-,-,-,-,-,-,-,-,-,-,1789793525503,1789793526698,1113244,302600192,7.07,-
