system,sf,round,cold,query,status,rows,wall_ms,engine_ms,fe_ms,plan_ms,schedule_ms,rpc1_ms,cpu_ms,peak_mem_bytes,scan_bytes,scan_rows,query_id,start_ms,end_ms,peak_rss_kb,read_bytes,cpu_cores,gpu_peak_mib
native-olap,sf10,1,1,q01,OK,4,2852,-,2836,4,22,19,20694,485593216,2625994262,59142609,55ce9efb2e8b4d1a-943436f676b66bd3,1789795785248,1789795788100,4967596,371740672,6.21,-
native-olap,sf10,1,1,q02,OK,100,345,-,331,17,22,19,1131,326186292,155959973,10070066,3c2bc0d18cf045c2-a73ed0a873034383,1789795788148,1789795788493,5565588,230641664,5.27,-
native-olap,sf10,1,1,q03,OK,10,441,-,425,9,24,20,2691,252971532,649202070,48834250,1bbe267c96b94976-a76c9492c4776884,1789795788535,1789795788976,6045320,322486272,5.76,-
native-olap,sf10,1,1,q04,OK,5,490,-,476,6,20,17,3180,566052440,771010464,74986052,19cad7821b9f440e-b3dec1d2992a3ae3,1789795789012,1789795789503,6304956,231124992,6.12,-
native-olap,sf10,1,1,q05,OK,5,665,-,650,30,28,23,4254,525103892,1180228947,76586082,bcca88a3eeed4d83-8bbbc8cb17a44ac5,1789795789563,1789795790228,6344240,138772480,5.30,-
native-olap,sf10,1,1,q06,OK,1,76,-,54,3,5,3,277,74893056,385879824,9099165,c0e85c24ad964993-b6119be74252182f,1789795790262,1789795790339,6344240,42061824,4.81,-
native-olap,sf10,1,1,q07,OK,4,304,-,289,29,33,28,1521,491965644,1016430958,34829712,680e01a71e1b47c8-a32127cefefc4ed0,1789795790401,1789795790706,6459888,184422400,5.02,-
native-olap,sf10,1,1,q08,OK,2,695,-,680,57,33,26,4216,351200492,2190823291,78583703,5d880a2e3a824e81-b4ffe2c21b9a6647,1789795790794,1789795791489,6843848,185044992,5.50,-
native-olap,sf10,1,1,q09,OK,175,790,-,775,30,24,21,5173,1183912500,2791934441,85085729,92793a373bd84155-b4b5d7b29030f1d2,1789795791550,1789795792340,6843848,76189696,6.12,-
native-olap,sf10,1,1,q10,OK,20,606,-,590,10,21,18,4085,1323912160,944130962,46908729,23405328a0b04eff-8e2f5767a5784577,1789795792381,1789795792988,7014040,91549696,6.50,-
native-olap,sf10,1,1,q11,OK,171440,306,-,249,12,16,13,1017,541027052,290238206,16200050,7b6f0f60f99348aa-b4c23eb242880715,1789795793032,1789795793339,7014040,104427520,5.45,-
native-olap,sf10,1,1,q12,OK,2,263,-,249,7,29,21,1383,399784212,446662060,25596269,92a59f92dc3f4ad4-9125f475e32ddd43,1789795793380,1789795793644,7014040,232607744,5.49,-
native-olap,sf10,1,1,q13,OK,46,992,-,977,6,57,54,6650,480770056,975316965,16500000,37cf3fbcb9df4b66-87817a21784069ab,1789795793679,1789795794672,6995272,230821888,5.85,-
native-olap,sf10,1,1,q14,OK,1,88,-,73,7,10,7,303,386029468,89935779,2749167,1d440d12fec743a3-a414d3acfc349bd9,1789795794709,1789795794797,6975636,44597248,5.21,-
