system,sf,round,cold,query,status,rows,wall_ms,engine_ms,fe_ms,plan_ms,schedule_ms,rpc1_ms,cpu_ms,peak_mem_bytes,scan_bytes,scan_rows,query_id,start_ms,end_ms,peak_rss_kb,read_bytes,cpu_cores,gpu_peak_mib,gpu_util_pct,gpu_mem_util_pct
sirius-buffered,sf10,1,1,q01,OK,4,1917,1701.3,1903,59,1800,1795,0,0,0,0,730dd0620b0d4f5a-9142ebf70b0a3199,1789798285793,1789798287710,1355372,776601600,1.36,13563,39,10
sirius-buffered,sf10,1,1,q02,OK,100,722,436.7,709,53,654,652,0,0,0,0,b78edec7fae5492c-9089faa5bfdb3418,1789798287802,1789798288524,1408040,342302720,1.13,13567,17,2
sirius-buffered,sf10,1,1,q03,OK,10,905,805.0,892,25,866,865,0,0,0,0,c0319fcee76b48ee-a3328fa838e055d9,1789798288585,1789798289491,1416932,469798912,1.08,13571,0,0
sirius-buffered,sf10,1,1,q04,OK,5,748,678.2,735,22,711,710,0,0,0,0,987e2efe67064f17-9be691d6efd33f0e,1789798289548,1789798290296,1457148,570281984,1.10,13573,58,16
sirius-buffered,sf10,1,1,q05,OK,5,1152,983.7,1138,39,1097,1095,0,0,0,0,9db159fecdef4120-a25fcb7fad2f2f34,1789798290372,1789798291524,1515504,285736960,1.04,13573,4,0
sirius-buffered,sf10,1,1,q06,OK,1,490,442.8,477,16,460,458,0,0,0,0,bba5fc896bd04672-8a25289f53d4d8dc,1789798291573,1789798292064,1515504,182296576,1.19,13573,9,6
sirius-buffered,sf10,1,1,q07,OK,4,1189,987.1,1174,50,1122,1121,0,0,0,0,b34e4d2bd02d45ea-b29ec83f56bbd798,1789798292147,1789798293336,1534488,3624960,1.31,13573,4,0
sirius-buffered,sf10,1,1,q08,OK,2,1556,1280.4,1541,70,1470,1467,0,0,0,0,d2ddfa9f7aa14d55-92bc41aad97f1849,1789798293432,1789798294989,1564204,300544000,1.24,13573,45,16
sirius-buffered,sf10,1,1,q09,OK,175,1363,1159.5,1349,51,1297,1295,0,0,0,0,d7837bf8733e43be-9ac025bf7ad210b7,1789798295067,1789798296431,1571576,266973184,1.21,13573,36,6
sirius-buffered,sf10,1,1,q10,OK,20,1015,877.4,1001,35,965,963,0,0,0,0,99d4bc0e5b664f14-9d0f62e5c7cf9f0f,1789798296501,1789798297517,1571576,125353984,1.11,13575,32,5
sirius-buffered,sf10,1,1,q11,OK,171440,578,257.0,516,39,445,443,0,0,0,0,c304b7413dfd40ff-b270636b990b9ea1,1789798297587,1789798298166,1551360,11362304,0.99,13577,1,0
sirius-buffered,sf10,1,1,q12,OK,2,704,614.8,688,24,663,661,0,0,0,0,48999ca98f054493-8d2b0783eee5ae99,1789798298224,1789798298929,1554944,20279296,1.08,13577,0,0
sirius-buffered,sf10,1,1,q13,OK,46,555,496.0,542,15,526,524,0,0,0,0,d8195ff3bbd74ea1-a77cf8531ec010dd,1789798298977,1789798299532,1610208,314273792,1.37,13577,71,27
sirius-buffered,sf10,1,1,q14,OK,1,682,603.2,668,21,646,644,0,0,0,0,f3e896d4a0bf4fcb-9f16010bf9525fa2,1789798299588,1789798300270,1627920,139264,1.13,13577,0,0
sirius-buffered,sf10,1,1,q15,OK,1,1132,1001.0,1117,39,1077,1075,0,0,0,0,a52029a919714b40-b90a9e8bca1dbbad,1789798300348,1789798301480,1652156,1761280,1.23,13577,0,0
sirius-buffered,sf10,1,1,q16,OK,27840,372,253.8,344,22,314,313,0,0,0,0,7ecc43ad9d504a1f-a3fa2c8e787f334c,1789798301535,1789798301908,1652156,8253440,1.02,13579,18,2
