system,sf,round,cold,query,status,rows,wall_ms,engine_ms,fe_ms,plan_ms,schedule_ms,rpc1_ms,cpu_ms,peak_mem_bytes,scan_bytes,scan_rows,query_id,start_ms,end_ms,peak_rss_kb,read_bytes,cpu_cores,gpu_peak_mib
sirius,sf10,1,1,q01,OK,4,1827,1605.8,1812,64,1703,1700,0,0,0,0,8ff12bf8ef934341-9a0c69199d7e0842,1789794506472,1789794508300,1345888,688889856,1.26,13563
sirius,sf10,1,1,q02,OK,100,713,411.7,699,63,634,631,0,0,0,0,bd099f70e4e34161-a0dbff6dab6e7d15,1789794508409,1789794509122,1392312,268726272,1.02,13567
sirius,sf10,1,1,q03,OK,10,2378,2266.6,2364,34,2329,2327,0,0,0,0,a78a441ce7ab4828-a060cc1f2da8108a,1789794509195,1789794511573,1412260,922337280,0.42,13571
sirius,sf10,1,1,q04,OK,5,1529,1457.8,1515,23,1491,1488,0,0,0,0,9af1ba7ba0194952-9ba08038290171f0,1789794511633,1789794513162,1447088,515399680,0.58,13573
sirius,sf10,1,1,q05,OK,5,3238,3059.8,3224,47,3175,3173,0,0,0,0,d4a131fcc98f4589-9fb46e3d88ee3d27,1789794513247,1789794516485,1539676,1273999360,0.48,13573
sirius,sf10,1,1,q06,OK,1,1667,1615.4,1653,19,1633,1631,0,0,0,0,39f2e449f44a4caa-a29bd269943f0c36,1789794516536,1789794518204,1539676,596774912,0.54,13573
sirius,sf10,1,1,q07,OK,4,3640,3434.8,3626,52,3572,3570,0,0,0,0,dfa8eee4071d4e16-9cc900b7ab3f550b,1789794518295,1789794521936,1538008,1192538112,0.51,13573
sirius,sf10,1,1,q08,OK,2,4666,4397.0,4651,63,4587,4585,0,0,0,0,ad4842cbca924c73-8864e5d643a6dd46,1789794522036,1789794526702,1577416,1460277248,0.39,13573
sirius,sf10,1,1,q09,OK,175,4806,4599.4,4792,51,4740,4737,0,0,0,0,8d32e90cfeae43d9-b3fff83485bd6eda,1789794526791,1789794531598,1577416,1602531328,0.42,13573
sirius,sf10,1,1,q10,OK,20,2772,2628.8,2758,39,2717,2715,0,0,0,0,7e9eb7462763453c-938b36fd7ba3a750,1789794531673,1789794534445,1574232,978739200,0.55,13575
sirius,sf10,1,1,q11,OK,171440,705,381.9,643,43,565,562,0,0,0,0,132b24b2eaac4b68-badba3873faed837,1789794534526,1789794535232,1557340,247369728,0.66,13577
sirius,sf10,1,1,q12,OK,2,1579,1492.1,1565,25,1538,1536,0,0,0,0,b75e376612d54e93-95e6e2f7343a4349,1789794535293,1789794536872,1609968,750108672,0.54,13577
sirius,sf10,1,1,q13,OK,46,1646,1582.6,1632,18,1613,1611,0,0,0,0,cf3dcbb01f284862-b991b9f305640a7f,1789794536924,1789794538571,1609968,515805184,0.45,13577
sirius,sf10,1,1,q14,OK,1,2647,2561.6,2632,25,2606,2604,0,0,0,0,f771eb4823074579-9af711427b7c8512,1789794538631,1789794541279,1634036,918667264,0.52,13577
sirius,sf10,1,1,q15,OK,1,2576,2444.4,2562,41,2520,2517,0,0,0,0,76b57283cc924de5-b9f01ac0fe7d1d7c,1789794541358,1789794543935,1713052,912232448,0.66,13579
sirius,sf10,1,1,q16,OK,27840,399,273.7,370,25,337,335,0,0,0,0,60baa677b9f64166-89f43283b029936f,1789794543992,1789794544392,1713052,102252544,0.64,13579
sirius,sf10,1,1,q17,OK,1,3393,3287.3,3378,35,3342,3339,0,0,0,0,29cdf77c3e264cc3-b00a0d7e7b3baf67,1789794544465,1789794547858,1728216,1240887296,0.40,13579
sirius,sf10,1,1,q18,OK,100,2244,2085.3,2230,47,2181,2179,0,0,0,0,97faa5dfb4634e0e-926586065d68a3c8,1789794547938,1789794550183,1728240,779849728,0.80,13581
sirius,sf10,1,1,q19,OK,1,2757,2645.4,2743,31,2710,2709,0,0,0,0,5dc2c88fcbf34d9b-b50ccf85a6d5d14e,1789794550249,1789794553007,1728240,970637312,0.48,13581
sirius,sf10,1,1,q20,OK,1804,2762,2574.8,2747,48,2697,2695,0,0,0,0,3df6cdc6afa44233-ac62c1a3d9d3e333,1789794553090,1789794555853,1686608,958316544,0.42,13581
sirius,sf10,1,1,q21,OK,100,6756,6534.1,6732,70,6661,6659,0,0,0,0,9449f350f6934995-ab2b713686f227de,1789794555963,1789794562720,1757412,1996537856,0.60,13583
sirius,sf10,1,1,q22,OK,7,409,301.7,394,29,363,361,0,0,0,0,b360a6b2ea640dd-ab3b9e66b16fb0e5,1789794562788,1789794563197,1757412,160813056,0.46,13583
sirius,sf10,2,0,q01,OK,4,1038,949.9,1024,18,1005,1003,0,0,0,0,878a2e3f5cb9491a-a115a88af802a788,1789794570426,1789794571465,1714956,642842624,1.37,13583
sirius,sf10,2,0,q02,OK,100,605,302.3,590,65,524,521,0,0,0,0,87f818e3c4de455d-bec724465fcf7362,1789794571563,1789794572168,1714956,251822080,1.04,13583
sirius,sf10,2,0,q03,OK,10,2820,2709.5,2805,32,2772,2771,0,0,0,0,d58d3f58992c4432-8e8e44b54b0347b3,1789794572233,1789794575053,1732672,1172905984,0.41,13583
sirius,sf10,2,0,q04,OK,5,1388,1313.3,1374,26,1347,1345,0,0,0,0,239f0b8db9644691-a2656814076edaf7,1789794575118,1789794576507,1732672,572444672,0.59,13583
sirius,sf10,2,0,q05,OK,5,3323,3140.0,3308,51,3256,3254,0,0,0,0,58e3f14475c04136-89ad0774197e3ee0,1789794576591,1789794579915,1748584,1123643392,0.46,13583
sirius,sf10,2,0,q06,OK,1,1698,1650.5,1685,16,1668,1666,0,0,0,0,1830bff6eeab485d-9563f4ec76e2d44e,1789794579967,1789794581665,1748584,637067264,0.49,13583
sirius,sf10,2,0,q07,OK,4,3598,3392.7,3582,52,3529,3526,0,0,0,0,1493fb802f9243e3-b360aa4d700defa8,1789794581753,1789794585352,1736564,1260650496,0.47,13583
sirius,sf10,2,0,q08,OK,2,4632,4357.9,4618,68,4549,4547,0,0,0,0,820e3fafcefd405b-8410f9910fb25347,1789794585447,1789794590080,1754364,1456840704,0.47,13583
sirius,sf10,2,0,q09,OK,175,4703,4497.3,4689,51,4637,4634,0,0,0,0,d3f920a13d48477a-a877d6949be3e04a,1789794590165,1789794594868,1754364,1542664192,0.38,13583
sirius,sf10,2,0,q10,OK,20,2886,2743.2,2871,39,2830,2829,0,0,0,0,9ea04e73142e44e8-8d404da0703d2ad1,1789794594942,1789794597828,1753096,1229201408,0.48,13583
sirius,sf10,2,0,q11,OK,171440,683,361.2,621,43,545,542,0,0,0,0,2549163b88564a44-ac0e22b71da9a7c1,1789794597905,1789794598589,1731288,246022144,0.69,13583
